"","gender.X","gender.x","Age.X","Age.x","Attitude.X","Attitude.x","deep.X","deep.x","stra.X","stra.x","surf.X","surf.x","Points.X","Points.x"
"1",  1,F,  1, 53,  1, 37,  1.000000,  3.583333,  1.000,  3.375,  1.000000,  2.583333,  1, 25
"2",  2,M,  2, 55,  2, 31,  2.000000,  2.916667,  2.000,  2.750,  2.000000,  3.166667,  2, 12
"3",  3,F,  3, 49,  3, 25,  3.000000,  3.500000,  3.000,  3.625,  3.000000,  2.250000,  3, 24
"4",  4,M,  4, 53,  4, 35,  4.000000,  3.500000,  4.000,  3.125,  4.000000,  2.250000,  4, 10
"5",  5,M,  5, 49,  5, 37,  5.000000,  3.666667,  5.000,  3.625,  5.000000,  2.833333,  5, 22
"6",  6,F,  6, 38,  6, 38,  6.000000,  4.750000,  6.000,  3.625,  6.000000,  2.416667,  6, 21
"7",  7,M,  7, 50,  7, 35,  7.000000,  3.833333,  7.000,  2.250,  7.000000,  1.916667,  7, 21
"8",  8,F,  8, 37,  8, 29,  8.000000,  3.250000,  8.000,  4.000,  8.000000,  2.833333,  8, 31
"9",  9,M,  9, 37,  9, 38,  9.000000,  4.333333,  9.000,  4.250,  9.000000,  2.166667,  9, 24
"10", 10,F, 10, 42, 10, 21, 10.000000,  4.000000, 10.000,  3.500, 10.000000,  3.000000, 10, 26
"11", 11,M, 11, 37, 11, 39, 11.000000,  3.583333, 11.000,  3.625, 11.000000,  2.666667, 11, 31
"12", 12,F, 12, 34, 12, 38, 12.000000,  3.833333, 12.000,  4.750, 12.000000,  2.416667, 12, 31
"13", 13,F, 13, 34, 13, 24, 13.000000,  4.250000, 13.000,  3.625, 13.000000,  2.250000, 13, 23
"14", 14,F, 14, 34, 14, 30, 14.000000,  3.333333, 14.000,  3.500, 14.000000,  2.750000, 14, 25
"15", 15,M, 15, 35, 15, 26, 15.000000,  4.166667, 15.000,  1.750, 15.000000,  2.333333, 15, 21
"16", 16,F, 16, 33, 16, 41, 16.000000,  3.666667, 16.000,  3.875, 16.000000,  2.333333, 16, 31
"17", 17,F, 17, 32, 17, 26, 17.000000,  4.083333, 17.000,  1.375, 17.000000,  2.916667, 17, 20
"18", 18,F, 18, 44, 18, 26, 18.000000,  3.500000, 18.000,  3.250, 18.000000,  2.500000, 18, 22
"19", 19,M, 19, 29, 19, 17, 19.000000,  4.083333, 19.000,  3.000, 19.000000,  3.750000, 19,  9
"20", 20,F, 20, 30, 20, 27, 20.000000,  4.000000, 20.000,  3.750, 20.000000,  2.750000, 20, 24
"21", 21,M, 21, 27, 21, 39, 21.000000,  3.916667, 21.000,  2.625, 21.000000,  2.333333, 21, 28
"22", 22,M, 22, 29, 22, 34, 22.000000,  4.000000, 22.000,  2.375, 22.000000,  2.416667, 22, 30
"23", 23,F, 23, 31, 23, 27, 23.000000,  4.000000, 23.000,  3.625, 23.000000,  3.000000, 23, 24
"24", 24,F, 24, 37, 24, 23, 24.000000,  3.666667, 24.000,  2.750, 24.000000,  2.416667, 24,  9
"25", 25,F, 25, 26, 25, 37, 25.000000,  3.666667, 25.000,  1.750, 25.000000,  2.833333, 25, 26
"26", 26,F, 26, 26, 26, 44, 26.000000,  4.416667, 26.000,  3.250, 26.000000,  3.166667, 26, 32
"27", 27,M, 27, 30, 27, 41, 27.000000,  3.916667, 27.000,  4.000, 27.000000,  3.000000, 27, 32
"28", 28,F, 28, 33, 28, 37, 28.000000,  3.750000, 28.000,  3.625, 28.000000,  2.000000, 28, 33
"29", 29,F, 29, 33, 29, 25, 29.000000,  3.250000, 29.000,  2.875, 29.000000,  3.500000, 29, 29
"30", 30,M, 30, 28, 30, 30, 30.000000,  3.583333, 30.000,  3.000, 30.000000,  3.750000, 30, 30
"31", 31,M, 31, 26, 31, 34, 31.000000,  4.916667, 31.000,  1.625, 31.000000,  2.500000, 31, 19
"32", 32,F, 32, 27, 32, 32, 32.000000,  3.583333, 32.000,  3.250, 32.000000,  2.083333, 32, 23
"33", 33,F, 33, 25, 33, 20, 33.000000,  2.916667, 33.000,  3.500, 33.000000,  2.416667, 33, 19
"34", 34,F, 34, 31, 34, 24, 34.000000,  3.666667, 34.000,  3.000, 34.000000,  2.583333, 34, 12
"35", 35,M, 35, 20, 35, 42, 35.000000,  4.500000, 35.000,  3.250, 35.000000,  1.583333, 35, 10
"36", 36,F, 36, 39, 36, 16, 36.000000,  4.083333, 36.000,  1.875, 36.000000,  2.833333, 36, 11
"37", 37,M, 37, 38, 37, 31, 37.000000,  3.833333, 37.000,  4.375, 37.000000,  1.833333, 37, 20
"38", 38,M, 38, 24, 38, 38, 38.000000,  3.250000, 38.000,  3.625, 38.000000,  2.416667, 38, 26
"39", 39,M, 39, 26, 39, 38, 39.000000,  2.333333, 39.000,  2.500, 39.000000,  3.250000, 39, 31
"40", 40,M, 40, 25, 40, 33, 40.000000,  3.333333, 40.000,  1.250, 40.000000,  3.416667, 40, 20
"41", 41,F, 41, 30, 41, 17, 41.000000,  4.083333, 41.000,  4.000, 41.000000,  3.416667, 41, 23
"42", 42,F, 42, 25, 42, 25, 42.000000,  2.916667, 42.000,  3.000, 42.000000,  3.166667, 42, 12
"43", 43,M, 43, 30, 43, 32, 43.000000,  3.333333, 43.000,  2.500, 43.000000,  3.500000, 43, 24
"44", 44,F, 44, 48, 44, 35, 44.000000,  3.833333, 44.000,  4.875, 44.000000,  2.666667, 44, 17
"45", 45,F, 45, 24, 45, 32, 45.000000,  3.666667, 45.000,  5.000, 45.000000,  2.416667, 45, 29
"46", 46,F, 46, 40, 46, 42, 46.000000,  4.666667, 46.000,  4.375, 46.000000,  3.583333, 46, 23
"47", 47,M, 47, 25, 47, 31, 47.000000,  3.750000, 47.000,  3.250, 47.000000,  2.083333, 47, 28
"48", 48,F, 48, 23, 48, 39, 48.000000,  3.416667, 48.000,  4.000, 48.000000,  3.750000, 48, 31
"49", 49,F, 49, 25, 49, 19, 49.000000,  4.166667, 49.000,  3.125, 49.000000,  2.916667, 49, 23
"50", 50,F, 50, 23, 50, 21, 50.000000,  2.916667, 50.000,  2.500, 50.000000,  2.916667, 50, 25
"51", 51,M, 51, 27, 51, 25, 51.000000,  4.166667, 51.000,  3.125, 51.000000,  2.416667, 51, 18
"52", 52,M, 52, 25, 52, 32, 52.000000,  3.583333, 52.000,  3.250, 52.000000,  3.000000, 52, 19
"53", 53,M, 53, 23, 53, 32, 53.000000,  2.833333, 53.000,  2.125, 53.000000,  3.416667, 53, 22
