"","x"
"1",53
"2",55
"3",49
"4",53
"5",49
"6",38
"7",50
"8",37
"9",37
"10",42
"11",37
"12",34
"13",34
"14",34
"15",35
"16",33
"17",32
"18",44
"19",29
"20",30
"21",27
"22",29
"23",31
"24",37
"25",26
"26",26
"27",30
"28",33
"29",33
"30",28
"31",26
"32",27
"33",25
"34",31
"35",20
"36",39
"37",38
"38",24
"39",26
"40",25
"41",30
"42",25
"43",30
"44",48
"45",24
"46",40
"47",25
"48",23
"49",25
"50",23
"51",27
"52",25
"53",23
"54",23
"55",23
"56",45
"57",22
"58",23
"59",21
"60",21
"61",21
"62",21
"63",26
"64",25
"65",26
"66",21
"67",23
"68",22
"69",22
"70",22
"71",23
"72",22
"73",23
"74",24
"75",22
"76",23
"77",22
"78",20
"79",22
"80",21
"81",22
"82",23
"83",21
"84",22
"85",29
"86",29
"87",21
"88",28
"89",21
"90",30
"91",21
"92",23
"93",21
"94",21
"95",20
"96",22
"97",21
"98",21
"99",20
"100",22
"101",20
"102",20
"103",24
"104",20
"105",19
"106",21
"107",21
"108",22
"109",25
"110",21
"111",22
"112",25
"113",20
"114",24
"115",20
"116",21
"117",20
"118",20
"119",31
"120",20
"121",22
"122",22
"123",21
"124",22
"125",21
"126",21
"127",21
"128",21
"129",20
"130",21
"131",25
"132",21
"133",24
"134",20
"135",21
"136",20
"137",20
"138",18
"139",21
"140",19
"141",21
"142",20
"143",21
"144",20
"145",21
"146",20
"147",18
"148",22
"149",22
"150",24
"151",19
"152",20
"153",20
"154",17
"155",19
"156",20
"157",20
"158",20
"159",20
"160",19
"161",19
"162",22
"163",35
"164",18
"165",19
"166",21
