"","x"
"1",37
"2",31
"3",25
"4",35
"5",37
"6",38
"7",35
"8",29
"9",38
"10",21
"11",39
"12",38
"13",24
"14",30
"15",26
"16",41
"17",26
"18",26
"19",17
"20",27
"21",39
"22",34
"23",27
"24",23
"25",37
"26",44
"27",41
"28",37
"29",25
"30",30
"31",34
"32",32
"33",20
"34",24
"35",42
"36",16
"37",31
"38",38
"39",38
"40",33
"41",17
"42",25
"43",32
"44",35
"45",32
"46",42
"47",31
"48",39
"49",19
"50",21
"51",25
"52",32
"53",32
"54",26
"55",23
"56",38
"57",28
"58",33
"59",48
"60",40
"61",40
"62",47
"63",23
"64",31
"65",27
"66",41
"67",34
"68",25
"69",21
"70",14
"71",19
"72",37
"73",32
"74",28
"75",41
"76",25
"77",28
"78",38
"79",31
"80",35
"81",36
"82",26
"83",44
"84",45
"85",32
"86",39
"87",25
"88",33
"89",33
"90",30
"91",29
"92",33
"93",33
"94",35
"95",36
"96",37
"97",42
"98",32
"99",50
"100",47
"101",36
"102",36
"103",29
"104",35
"105",40
"106",35
"107",32
"108",26
"109",20
"110",27
"111",32
"112",33
"113",39
"114",33
"115",30
"116",37
"117",25
"118",29
"119",39
"120",36
"121",29
"122",21
"123",31
"124",40
"125",31
"126",23
"127",28
"128",37
"129",26
"130",24
"131",30
"132",28
"133",29
"134",24
"135",31
"136",19
"137",20
"138",38
"139",34
"140",37
"141",29
"142",23
"143",41
"144",27
"145",35
"146",34
"147",32
"148",33
"149",33
"150",35
"151",32
"152",31
"153",28
"154",17
"155",19
"156",35
"157",24
"158",21
"159",29
"160",19
"161",20
"162",42
"163",41
"164",37
"165",36
"166",18
