"","x"
"1",25
"2",12
"3",24
"4",10
"5",22
"6",21
"7",21
"8",31
"9",24
"10",26
"11",31
"12",31
"13",23
"14",25
"15",21
"16",31
"17",20
"18",22
"19",9
"20",24
"21",28
"22",30
"23",24
"24",9
"25",26
"26",32
"27",32
"28",33
"29",29
"30",30
"31",19
"32",23
"33",19
"34",12
"35",10
"36",11
"37",20
"38",26
"39",31
"40",20
"41",23
"42",12
"43",24
"44",17
"45",29
"46",23
"47",28
"48",31
"49",23
"50",25
"51",18
"52",19
"53",22
"54",25
"55",21
"56",9
"57",28
"58",25
"59",29
"60",33
"61",33
"62",25
"63",18
"64",22
"65",17
"66",25
"67",28
"68",22
"69",26
"70",11
"71",29
"72",22
"73",21
"74",28
"75",33
"76",16
"77",31
"78",22
"79",31
"80",23
"81",26
"82",12
"83",26
"84",31
"85",19
"86",30
"87",12
"88",17
"89",18
"90",19
"91",21
"92",24
"93",28
"94",17
"95",18
"96",17
"97",23
"98",26
"99",28
"100",31
"101",27
"102",25
"103",23
"104",21
"105",27
"106",28
"107",23
"108",21
"109",25
"110",11
"111",19
"112",24
"113",28
"114",21
"115",24
"116",24
"117",20
"118",19
"119",30
"120",22
"121",16
"122",16
"123",19
"124",30
"125",23
"126",19
"127",18
"128",28
"129",21
"130",19
"131",27
"132",24
"133",21
"134",20
"135",28
"136",12
"137",21
"138",28
"139",31
"140",18
"141",25
"142",19
"143",21
"144",16
"145",7
"146",21
"147",17
"148",22
"149",18
"150",25
"151",24
"152",23
"153",23
"154",26
"155",12
"156",32
"157",22
"158",20
"159",21
"160",23
"161",20
"162",28
"163",31
"164",18
"165",30
"166",19
