"","x"
"1",3.58333333333333
"2",2.91666666666667
"3",3.5
"4",3.5
"5",3.66666666666667
"6",4.75
"7",3.83333333333333
"8",3.25
"9",4.33333333333333
"10",4
"11",3.58333333333333
"12",3.83333333333333
"13",4.25
"14",3.33333333333333
"15",4.16666666666667
"16",3.66666666666667
"17",4.08333333333333
"18",3.5
"19",4.08333333333333
"20",4
"21",3.91666666666667
"22",4
"23",4
"24",3.66666666666667
"25",3.66666666666667
"26",4.41666666666667
"27",3.91666666666667
"28",3.75
"29",3.25
"30",3.58333333333333
"31",4.91666666666667
"32",3.58333333333333
"33",2.91666666666667
"34",3.66666666666667
"35",4.5
"36",4.08333333333333
"37",3.83333333333333
"38",3.25
"39",2.33333333333333
"40",3.33333333333333
"41",4.08333333333333
"42",2.91666666666667
"43",3.33333333333333
"44",3.83333333333333
"45",3.66666666666667
"46",4.66666666666667
"47",3.75
"48",3.41666666666667
"49",4.16666666666667
"50",2.91666666666667
"51",4.16666666666667
"52",3.58333333333333
"53",2.83333333333333
"54",4
"55",2.91666666666667
"56",3
"57",4.08333333333333
"58",2.91666666666667
"59",3.5
"60",4.33333333333333
"61",4.25
"62",3.41666666666667
"63",3.08333333333333
"64",4.58333333333333
"65",3.41666666666667
"66",3.41666666666667
"67",3.41666666666667
"68",3.58333333333333
"69",1.58333333333333
"70",3.33333333333333
"71",4.33333333333333
"72",4.41666666666667
"73",4.83333333333333
"74",3.08333333333333
"75",3
"76",4.08333333333333
"77",4.08333333333333
"78",3.75
"79",3.08333333333333
"80",4.75
"81",4.25
"82",4.16666666666667
"83",4.41666666666667
"84",3.83333333333333
"85",3.33333333333333
"86",3.16666666666667
"87",3.16666666666667
"88",3.83333333333333
"89",4.25
"90",3.83333333333333
"91",3.66666666666667
"92",3.83333333333333
"93",3.83333333333333
"94",3.83333333333333
"95",3.66666666666667
"96",4.33333333333333
"97",3.75
"98",4.16666666666667
"99",4
"100",4
"101",4.58333333333333
"102",3.66666666666667
"103",3.66666666666667
"104",3.83333333333333
"105",2.58333333333333
"106",3.5
"107",3.08333333333333
"108",4.25
"109",3.16666666666667
"110",3.08333333333333
"111",4.16666666666667
"112",2.25
"113",3.33333333333333
"114",3.08333333333333
"115",2.75
"116",3.25
"117",4
"118",3.58333333333333
"119",4.08333333333333
"120",4.25
"121",3.41666666666667
"122",3.08333333333333
"123",3.5
"124",3.66666666666667
"125",4.25
"126",4.25
"127",3.83333333333333
"128",4.41666666666667
"129",3.5
"130",3.58333333333333
"131",3.66666666666667
"132",2.08333333333333
"133",4.25
"134",3.58333333333333
"135",4
"136",3.33333333333333
"137",3.5
"138",3.16666666666667
"139",3.58333333333333
"140",3.41666666666667
"141",4.25
"142",3.25
"143",4.41666666666667
"144",3.25
"145",3.91666666666667
"146",3.58333333333333
"147",4.5
"148",3.58333333333333
"149",3.66666666666667
"150",2.58333333333333
"151",4.16666666666667
"152",3.25
"153",4.33333333333333
"154",3.91666666666667
"155",2.66666666666667
"156",3.08333333333333
"157",3.75
"158",4.16666666666667
"159",4.16666666666667
"160",3.25
"161",4.08333333333333
"162",2.91666666666667
"163",3.83333333333333
"164",3.16666666666667
"165",3.41666666666667
"166",4.08333333333333
