"","x"
"1",3.375
"2",2.75
"3",3.625
"4",3.125
"5",3.625
"6",3.625
"7",2.25
"8",4
"9",4.25
"10",3.5
"11",3.625
"12",4.75
"13",3.625
"14",3.5
"15",1.75
"16",3.875
"17",1.375
"18",3.25
"19",3
"20",3.75
"21",2.625
"22",2.375
"23",3.625
"24",2.75
"25",1.75
"26",3.25
"27",4
"28",3.625
"29",2.875
"30",3
"31",1.625
"32",3.25
"33",3.5
"34",3
"35",3.25
"36",1.875
"37",4.375
"38",3.625
"39",2.5
"40",1.25
"41",4
"42",3
"43",2.5
"44",4.875
"45",5
"46",4.375
"47",3.25
"48",4
"49",3.125
"50",2.5
"51",3.125
"52",3.25
"53",2.125
"54",2.75
"55",2.375
"56",3.125
"57",4
"58",4
"59",2.25
"60",3.25
"61",3.625
"62",3.625
"63",2.5
"64",1.875
"65",2
"66",1.875
"67",4
"68",2.875
"69",3.875
"70",2.5
"71",2.75
"72",4.5
"73",3.375
"74",2.625
"75",4.125
"76",2.625
"77",2.25
"78",2.75
"79",3
"80",1.625
"81",1.875
"82",3.375
"83",3.75
"84",2.125
"85",2.375
"86",2.75
"87",3.125
"88",3.5
"89",2.625
"90",3.375
"91",2.25
"92",3
"93",4
"94",3.5
"95",2.625
"96",2.5
"97",3.75
"98",3.625
"99",4.125
"100",4.375
"101",2.625
"102",4
"103",2.75
"104",2.75
"105",1.375
"106",2.25
"107",3.625
"108",3.75
"109",4
"110",3.125
"111",3.25
"112",2.125
"113",2.875
"114",1.5
"115",2.5
"116",3.25
"117",3.625
"118",3.875
"119",3.875
"120",2.375
"121",3
"122",3.375
"123",2.75
"124",4.5
"125",2.625
"126",2.75
"127",3.25
"128",4.125
"129",3.375
"130",2.75
"131",4.125
"132",3.25
"133",2.875
"134",2.875
"135",2.375
"136",3.875
"137",2.125
"138",4
"139",3.25
"140",2.625
"141",2.75
"142",4
"143",3
"144",3.375
"145",3.875
"146",3.25
"147",3.375
"148",4.125
"149",3.5
"150",2
"151",3.625
"152",3.375
"153",2.125
"154",4.625
"155",2.5
"156",2.875
"157",2.75
"158",4
"159",2.375
"160",3.875
"161",3.375
"162",1.75
"163",3
"164",2.625
"165",2.625
"166",3.375
