"","x"
"1",2.58333333333333
"2",3.16666666666667
"3",2.25
"4",2.25
"5",2.83333333333333
"6",2.41666666666667
"7",1.91666666666667
"8",2.83333333333333
"9",2.16666666666667
"10",3
"11",2.66666666666667
"12",2.41666666666667
"13",2.25
"14",2.75
"15",2.33333333333333
"16",2.33333333333333
"17",2.91666666666667
"18",2.5
"19",3.75
"20",2.75
"21",2.33333333333333
"22",2.41666666666667
"23",3
"24",2.41666666666667
"25",2.83333333333333
"26",3.16666666666667
"27",3
"28",2
"29",3.5
"30",3.75
"31",2.5
"32",2.08333333333333
"33",2.41666666666667
"34",2.58333333333333
"35",1.58333333333333
"36",2.83333333333333
"37",1.83333333333333
"38",2.41666666666667
"39",3.25
"40",3.41666666666667
"41",3.41666666666667
"42",3.16666666666667
"43",3.5
"44",2.66666666666667
"45",2.41666666666667
"46",3.58333333333333
"47",2.08333333333333
"48",3.75
"49",2.91666666666667
"50",2.91666666666667
"51",2.41666666666667
"52",3
"53",3.41666666666667
"54",2.91666666666667
"55",3.25
"56",3.25
"57",2.33333333333333
"58",3.25
"59",2.5
"60",1.75
"61",2.25
"62",2.08333333333333
"63",2.83333333333333
"64",2.83333333333333
"65",2.41666666666667
"66",2.25
"67",2.83333333333333
"68",2.25
"69",1.83333333333333
"70",2.91666666666667
"71",2.91666666666667
"72",2.08333333333333
"73",2.33333333333333
"74",2.41666666666667
"75",2.75
"76",3.25
"77",1.75
"78",2.58333333333333
"79",3.33333333333333
"80",2.83333333333333
"81",2.5
"82",2.41666666666667
"83",2.41666666666667
"84",2.58333333333333
"85",3
"86",2
"87",3.41666666666667
"88",2.83333333333333
"89",2.25
"90",2.75
"91",3.91666666666667
"92",2.33333333333333
"93",2.75
"94",2.75
"95",2.91666666666667
"96",2.08333333333333
"97",3.66666666666667
"98",2.83333333333333
"99",3.41666666666667
"100",1.58333333333333
"101",2.91666666666667
"102",3
"103",2.91666666666667
"104",2.66666666666667
"105",3
"106",2.75
"107",3.08333333333333
"108",2.5
"109",2.33333333333333
"110",3
"111",3
"112",4
"113",3.25
"114",3.5
"115",3.5
"116",3.83333333333333
"117",2.91666666666667
"118",2.16666666666667
"119",1.66666666666667
"120",2.08333333333333
"121",2.83333333333333
"122",3.41666666666667
"123",3.33333333333333
"124",2.58333333333333
"125",2.83333333333333
"126",3.33333333333333
"127",3
"128",2.58333333333333
"129",2.41666666666667
"130",3.58333333333333
"131",2.08333333333333
"132",4.33333333333333
"133",2.66666666666667
"134",3
"135",2.66666666666667
"136",2.16666666666667
"137",2.66666666666667
"138",2.25
"139",2.66666666666667
"140",3.33333333333333
"141",3.5
"142",2.75
"143",2
"144",2.83333333333333
"145",3.5
"146",2.5
"147",3.16666666666667
"148",3.08333333333333
"149",2.91666666666667
"150",3.16666666666667
"151",2.5
"152",3.83333333333333
"153",2.25
"154",3.41666666666667
"155",3.75
"156",3
"157",2.58333333333333
"158",3.33333333333333
"159",2.83333333333333
"160",3
"161",2.83333333333333
"162",3.16666666666667
"163",2.75
"164",3.41666666666667
"165",3
"166",2.66666666666667
